地址,家戶內泥沙淤積程度現況（公分）,屋內大型廢棄家具是否已移除,是否進入一般清潔階段,需求參考的分級與顏色,最後更新日期,最後更新時間
光復鄉武昌街184號,10～30,否,否,3級,2025/9/29,12:00
光復鄉武昌街188號,10～30,否,否,3級,2025/9/29,12:00
光復鄉林森路160-150號,10～30,否,否,3級,2025/9/29,12:00
光復鄉中正路一段82號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段88號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段98號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段102號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段106號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段140號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段148號,0～10,是,是,6級,2025/9/29,12:00
光復鄉中正路一段150號,0～10,是,是,6級,2025/9/29,12:00
光復鄉中正路一段152號,0～10,是,是,6級,2025/9/29,12:00
光復鄉中正路一段160號,0～10,是,是,6級,2025/9/29,12:00
光復鄉中正路一段162號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段164號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段166號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段168號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段170號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段171號,0～10,是,是,6級,2025/9/29,12:00
光復鄉中正路一段264號,0～10,是,是,6級,2025/9/29,12:00
光復鄉林森路2號,0～10,否,否,5級,2025/9/29,12:00
光復鄉林森路4號,0～10,否,否,5級,2025/9/29,12:00
光復鄉林森路6號,0～10,否,是,5級,2025/9/29,12:00
光復鄉林森路8號,0～10,是,是,6級,2025/9/29,12:00
光復鄉林森路20號,0～10,是,是,6級,2025/9/29,12:00
光復鄉林森路24號,0～10,是,是,6級,2025/9/29,12:00
光復鄉林森路28號,0～10,否,是,5級,2025/9/29,12:00
光復鄉林森路30號,0～10,否,是,5級,2025/9/29,12:00
光復鄉中正路一段264號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段266號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段268號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段270號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段274號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段282號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段290號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段302號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段278巷7號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段309號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段311號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段313號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段374號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段321號,0～10,是,否,6級,2025/9/29,12:00
光復鄉佛祖街13號,0～10,是,否,6級,2025/9/29,12:00
光復鄉佛祖街17號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段334號,0～10,是,是,6級,2025/9/29,12:00
光復鄉中正路一段336號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段344號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段356號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段362號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段364號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段366號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段368巷1-1號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段253號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段251號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段334號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段356號,0～10,否,否,5級,2025/9/29,12:00
光復鄉自強路80巷7號,0～10,是,否,6級,2025/9/29,12:00
光復鄉自強路96號,0～10,是,否,6級,2025/9/29,12:00
光復鄉武昌街117號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中學街14號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段48號,無法判斷,無法判斷,否,無法判斷,2025/9/29,12:00
光復鄉中正路一段50號,無法判斷,無法判斷,否,無法判斷,2025/9/29,12:00
光復鄉中正路一段78號,無法判斷,無法判斷,否,無法判斷,2025/9/29,12:00
光復鄉中正路一段80號,無法判斷,無法判斷,否,無法判斷,2025/9/29,12:00
光復鄉中正路一段90號,無法判斷,無法判斷,否,無法判斷,2025/9/29,12:00
光復鄉中正路一段278巷9號,無法判斷,無法判斷,否,無法判斷,2025/9/29,12:00
光復鄉中正路一段368巷2號,無法判斷,無法判斷,否,無法判斷,2025/9/29,12:00
光復鄉中正路一段3295巷1號,無法判斷,無法判斷,否,無法判斷,2025/9/29,12:00
光復鄉中正路一段32號,0,是,否,6級,2025/9/29,12:00
光復鄉中正路一段34號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段36號,0,是,否,6級,2025/9/29,12:00
光復鄉中正路一段38號,0,是,否,6級,2025/9/29,12:00
光復鄉中正路一段40號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段42號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段46號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段52號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段54號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段56號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段58號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段60號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段62號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段64號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段66號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段68號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段70號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段72號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段74號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段76號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段92號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段94號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段96號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段100號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段104號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段122號,0,是,是,6級,2025/9/29,12:00
光復鄉郵局,0,否,否,6級,2025/9/29,12:00
光復鄉中華電信,0,是,否,6級,2025/9/29,12:00
